color1_name,color1_hex,color1_group,color2_name,color2_hex,color2_group,count,prob,rank
Blue,#1F78B4,4,Lavender,#B57EDC,5,2397,0.0011985,201
Navy,#08306B,4,Magenta,#FF00FF,5,2348,0.001174,202
Navy,#08306B,4,Pink,#FB9A99,5,2347,0.0011735,203
Blue,#1F78B4,4,Pink,#FB9A99,5,2346,0.001173,204
Pink,#FB9A99,5,SkyBlue,#87CEEB,4,2345,0.0011725,205
Navy,#08306B,4,Lavender,#B57EDC,5,2342,0.001171,206
Blue,#1F78B4,4,Magenta,#FF00FF,5,2302,0.001151,207
Navy,#08306B,4,Purple,#6A3D9A,5,2298,0.001149,208
Blue,#1F78B4,4,Purple,#6A3D9A,5,2282,0.001141,209
Magenta,#FF00FF,5,SkyBlue,#87CEEB,4,2279,0.0011395,210
Gray,#808080,0,Green,#33A02C,3,2110,0.001055,211
White,#FFFFFF,0,Cyan,#00BFC4,3,2032,0.001016,212
Gray,#808080,0,Olive,#808000,3,1998,0.000999,213
White,#FFFFFF,0,Teal,#008080,3,1984,0.000992,214
Black,#000000,0,Green,#33A02C,3,1968,0.000984,215
Black,#000000,0,Cyan,#00BFC4,3,1963,0.0009815,216
Black,#000000,0,Teal,#008080,3,1950,0.000975,217
Gray,#808080,0,Cyan,#00BFC4,3,1950,0.000975,218
White,#FFFFFF,0,Gold,#D4AF37,6,1939,0.0009695,219
White,#FFFFFF,0,Green,#33A02C,3,1937,0.0009685,220
Gray,#808080,0,Teal,#008080,3,1937,0.0009685,221
Black,#000000,0,Olive,#808000,3,1933,0.0009665,222
Black,#000000,0,Gold,#D4AF37,6,1932,0.000966,223
White,#FFFFFF,0,Silver,#C0C0C0,6,1930,0.000965,224
White,#FFFFFF,0,Olive,#808000,3,1920,0.00096,225
Gray,#808080,0,Gold,#D4AF37,6,1905,0.0009525,226
Black,#000000,0,Silver,#C0C0C0,6,1878,0.000939,227
Gray,#808080,0,Silver,#C0C0C0,6,1844,0.000922,228
Black,#000000,0,Magenta,#FF00FF,5,1124,0.000562,229
White,#FFFFFF,0,Lavender,#B57EDC,5,1106,0.000553,230
White,#FFFFFF,0,Pink,#FB9A99,5,1092,0.000546,231
White,#FFFFFF,0,Purple,#6A3D9A,5,1071,0.0005355,232
Gray,#808080,0,Lavender,#B57EDC,5,1064,0.000532,233
Gray,#808080,0,Pink,#FB9A99,5,1060,0.00053,234
Black,#000000,0,Pink,#FB9A99,5,1052,0.000526,235
Black,#000000,0,Lavender,#B57EDC,5,1045,0.0005225,236
White,#FFFFFF,0,Magenta,#FF00FF,5,1034,0.000517,237
Gray,#808080,0,Purple,#6A3D9A,5,1031,0.0005155,238
Gray,#808080,0,Magenta,#FF00FF,5,1030,0.000515,239
Black,#000000,0,Purple,#6A3D9A,5,1028,0.000514,240
Green,#33A02C,3,Silver,#C0C0C0,6,846,0.000423,241
Gold,#D4AF37,6,Teal,#008080,3,841,0.0004205,242
Silver,#C0C0C0,6,Olive,#808000,3,841,0.0004205,243
Cyan,#00BFC4,3,Silver,#C0C0C0,6,820,0.00041,244
Green,#33A02C,3,Gold,#D4AF37,6,796,0.000398,245
Cyan,#00BFC4,3,Gold,#D4AF37,6,793,0.0003965,246
Silver,#C0C0C0,6,Teal,#008080,3,781,0.0003905,247
Gold,#D4AF37,6,Olive,#808000,3,758,0.000379,248
Green,#33A02C,3,Magenta,#FF00FF,5,358,0.000179,249
Olive,#808000,3,Magenta,#FF00FF,5,357,0.0001785,250
Pink,#FB9A99,5,Teal,#008080,3,351,0.0001755,251
Cyan,#00BFC4,3,Lavender,#B57EDC,5,340,0.00017,252
Green,#33A02C,3,Pink,#FB9A99,5,339,0.0001695,253
Green,#33A02C,3,Lavender,#B57EDC,5,337,0.0001685,254
Purple,#6A3D9A,5,Olive,#808000,3,336,0.000168,255
Olive,#808000,3,Lavender,#B57EDC,5,332,0.000166,256
Pink,#FB9A99,5,Olive,#808000,3,330,0.000165,257
Green,#33A02C,3,Purple,#6A3D9A,5,329,0.0001645,258
Cyan,#00BFC4,3,Pink,#FB9A99,5,329,0.0001645,259
Purple,#6A3D9A,5,Teal,#008080,3,324,0.000162,260
Teal,#008080,3,Magenta,#FF00FF,5,321,0.0001605,261
Cyan,#00BFC4,3,Purple,#6A3D9A,5,310,0.000155,262
Cyan,#00BFC4,3,Magenta,#FF00FF,5,286,0.000143,263
Teal,#008080,3,Lavender,#B57EDC,5,284,0.000142,264
Blue,#1F78B4,4,Maroon,#800000,2,256,0.000128,265
Red,#E31A1C,2,SkyBlue,#87CEEB,4,254,0.000127,266
Maroon,#800000,2,SkyBlue,#87CEEB,4,253,0.0001265,267
Orange,#FF7F00,2,Blue,#1F78B4,4,244,0.000122,268
Orange,#FF7F00,2,SkyBlue,#87CEEB,4,243,0.0001215,269
Orange,#FF7F00,2,Navy,#08306B,4,237,0.0001185,270
Red,#E31A1C,2,Navy,#08306B,4,234,0.000117,271
Navy,#08306B,4,Maroon,#800000,2,234,0.000117,272
Yellow,#FFD700,2,Navy,#08306B,4,228,0.000114,273
Yellow,#FFD700,2,Blue,#1F78B4,4,227,0.0001135,274
Red,#E31A1C,2,Blue,#1F78B4,4,226,0.000113,275
Yellow,#FFD700,2,SkyBlue,#87CEEB,4,213,0.0001065,276
