category,cluster_color_hex,cluster_color_en,ratio
Computing,#F7F5EB,cluster_4,0.2657023067985634
Computing,#004C00,cluster_21,0.18250345149605515
Computing,#6D808C,cluster_3,0.09532936243031626
Computing,#215C6D,cluster_10,0.08632459730857192
Computing,#AD1E19,cluster_8,0.07455032833594309
Computing,#AFD5DE,cluster_0,0.05899531790819174
Computing,#B0BD90,cluster_18,0.05237454330650745
Computing,#FFD300,cluster_13,0.03229212395542775
Computing,#DD7C16,cluster_19,0.022460751475298784
Computing,#FADAB6,cluster_20,0.02228482954077511
Computing,#58811D,cluster_1,0.01819208373767704
Computing,#EF806C,cluster_2,0.01658061473916003
Computing,#4184EF,cluster_22,0.01651027606320078
Computing,#00E2F3,cluster_11,0.009821721102825757
Computing,#90F118,cluster_9,0.009683230861356423
Computing,#43CCBC,cluster_6,0.008312945969252252
Computing,#E3148C,cluster_12,0.007078502707798236
Computing,#8F45D8,cluster_5,0.007046167584047465
Computing,#6F0C89,cluster_14,0.006971113578220741
Computing,#24D536,cluster_23,0.0045944268031469036
Computing,#E97ED5,cluster_16,0.0019550058609042087
Computing,#0000B5,cluster_7,0.0003704945035657071
Computing,#00FC8C,cluster_17,3.711064931868046e-05
Computing,#FF00FF,cluster_15,2.8693283874405544e-05
Crafts-Hobbies,#F7F5EB,cluster_4,0.26664908193324005
Crafts-Hobbies,#B0BD90,cluster_18,0.1193753265717911
Crafts-Hobbies,#6D808C,cluster_3,0.11124974793667505
Crafts-Hobbies,#AFD5DE,cluster_0,0.09775063582127792
Crafts-Hobbies,#004C00,cluster_21,0.08015379231596262
Crafts-Hobbies,#AD1E19,cluster_8,0.07743721475273728
Crafts-Hobbies,#215C6D,cluster_10,0.05883343670363072
Crafts-Hobbies,#FADAB6,cluster_20,0.0445623566416952
Crafts-Hobbies,#EF806C,cluster_2,0.03668042062917682
Crafts-Hobbies,#DD7C16,cluster_19,0.03202663038058708
Crafts-Hobbies,#58811D,cluster_1,0.021920915044429227
Crafts-Hobbies,#FFD300,cluster_13,0.008791213215028305
Crafts-Hobbies,#4184EF,cluster_22,0.007109363223070238
Crafts-Hobbies,#E3148C,cluster_12,0.006688690021608061
Crafts-Hobbies,#6F0C89,cluster_14,0.006626698581087118
Crafts-Hobbies,#43CCBC,cluster_6,0.006044710800956479
Crafts-Hobbies,#E97ED5,cluster_16,0.004351705919269355
Crafts-Hobbies,#8F45D8,cluster_5,0.004293492268069986
Crafts-Hobbies,#00E2F3,cluster_11,0.003458323195191145
Crafts-Hobbies,#90F118,cluster_9,0.00303372347254434
Crafts-Hobbies,#24D536,cluster_23,0.0023178770156650243
Crafts-Hobbies,#00FC8C,cluster_17,0.00032662508672430985
Crafts-Hobbies,#0000B5,cluster_7,0.0002980685690179253
Crafts-Hobbies,#FF00FF,cluster_15,1.9949900564321403e-05
Crime-Thriller,#004C00,cluster_21,0.23797588302350364
Crime-Thriller,#F7F5EB,cluster_4,0.17164632850715886
Crime-Thriller,#AD1E19,cluster_8,0.10716128020955933
Crime-Thriller,#6D808C,cluster_3,0.10605736405131173
Crime-Thriller,#215C6D,cluster_10,0.09835753694809539
Crime-Thriller,#AFD5DE,cluster_0,0.06604543729503025
Crime-Thriller,#B0BD90,cluster_18,0.06384019181316718
Crime-Thriller,#DD7C16,cluster_19,0.030948610160492517
Crime-Thriller,#FADAB6,cluster_20,0.027434395312763274
Crime-Thriller,#EF806C,cluster_2,0.02042033807052083
Crime-Thriller,#58811D,cluster_1,0.0178100977586537
Crime-Thriller,#FFD300,cluster_13,0.01492754653873301
Crime-Thriller,#4184EF,cluster_22,0.009648820746422034
Crime-Thriller,#6F0C89,cluster_14,0.005695526935575994
Crime-Thriller,#00E2F3,cluster_11,0.005241020090713257
Crime-Thriller,#43CCBC,cluster_6,0.004413615859961772
Crime-Thriller,#E3148C,cluster_12,0.0035764851309935315
Crime-Thriller,#8F45D8,cluster_5,0.003130349283000321
Crime-Thriller,#90F118,cluster_9,0.0023862618220800197
Crime-Thriller,#E97ED5,cluster_16,0.0016826945388371789
Crime-Thriller,#24D536,cluster_23,0.001215150047428579
Crime-Thriller,#0000B5,cluster_7,0.00032781403192023577
Crime-Thriller,#FF00FF,cluster_15,5.4768462831154575e-05
Crime-Thriller,#00FC8C,cluster_17,2.483361246831116e-06
Dictionaries-Languages,#F7F5EB,cluster_4,0.21474069319823733
Dictionaries-Languages,#215C6D,cluster_10,0.10719349688220985
Dictionaries-Languages,#AD1E19,cluster_8,0.09688384166942277
Dictionaries-Languages,#004C00,cluster_21,0.09285189923432714
Dictionaries-Languages,#6D808C,cluster_3,0.08361378248525823
Dictionaries-Languages,#B0BD90,cluster_18,0.07059906012816018
Dictionaries-Languages,#AFD5DE,cluster_0,0.0667170681661004
Dictionaries-Languages,#DD7C16,cluster_19,0.04364657042277312
Dictionaries-Languages,#FADAB6,cluster_20,0.0399527324919132
Dictionaries-Languages,#FFD300,cluster_13,0.03809611191275168
Dictionaries-Languages,#EF806C,cluster_2,0.035124996475566016
Dictionaries-Languages,#4184EF,cluster_22,0.025147527330465786
Dictionaries-Languages,#58811D,cluster_1,0.023115986304034452
Dictionaries-Languages,#43CCBC,cluster_6,0.011225314718641246
Dictionaries-Languages,#00E2F3,cluster_11,0.010292090820448643
Dictionaries-Languages,#24D536,cluster_23,0.010143778216950112
Dictionaries-Languages,#6F0C89,cluster_14,0.007891064513309681
Dictionaries-Languages,#90F118,cluster_9,0.007603452612907341
Dictionaries-Languages,#8F45D8,cluster_5,0.006872359902518025
Dictionaries-Languages,#E3148C,cluster_12,0.003788804219184083
Dictionaries-Languages,#0000B5,cluster_7,0.0024139986358054
Dictionaries-Languages,#E97ED5,cluster_16,0.001817341855104897
Dictionaries-Languages,#FF00FF,cluster_15,0.00014491628507153464
Dictionaries-Languages,#00FC8C,cluster_17,0.00012311151883902664
Entertainment,#F7F5EB,cluster_4,0.23842337494503602
Entertainment,#004C00,cluster_21,0.16755599846302419
Entertainment,#AD1E19,cluster_8,0.09265063315978937
Entertainment,#6D808C,cluster_3,0.08846545382184842
Entertainment,#215C6D,cluster_10,0.0754256958848202
